,account_id,post_id,Category,Page,Post.URL,Date.Published,Post.Type,Rating,Debate,share_count,reaction_count,comment_count
1039,4.40106E+14,1.24566E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1245660842162697,9/19/2016,link,mostly true,,947,1689,535
1037,4.40106E+14,1.24566E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1245657488829699,9/19/2016,link,mostly false,,572,1148,204
1041,4.40106E+14,1.24609E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1246091905452924,9/19/2016,link,mostly false,,13305,9490,932
1046,4.40106E+14,1.24621E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1246207405441374,9/19/2016,link,mostly false,,4595,4899,256
1052,4.40106E+14,1.24648E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1246475268747921,9/19/2016,link,mostly false,,54,109,39
1062,4.40106E+14,1.24688E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1246879678707480,9/20/2016,link,mostly false,,3697,5811,206
1157,3.46937E+14,1.24572E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245723568854028,9/19/2016,link,mixture of true and false,,2007,8342,720
1158,3.46937E+14,1.24575E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245754342184284,9/19/2016,link,mixture of true and false,,5207,10719,3695
1159,3.46937E+14,1.24577E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245766898849695,9/19/2016,link,mixture of true and false,,33482,19552,1741
1148,3.46937E+14,1.24498E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1244975748928810,9/19/2016,link,mostly true,,9144,13983,1052
1218,3.46937E+14,1.24798E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1247976241962094,9/22/2016,photo,mostly false,,1,17525,441
1224,3.46937E+14,1.24861E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1248606598565725,9/22/2016,link,mostly false,,2343,5113,314
1239,3.46937E+14,1.24853E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1248526781907040,9/23/2016,photo,mostly false,,22075,34622,2527
1246,3.46937E+14,1.24962E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1249620025131049,9/23/2016,link,mostly false,,17635,22099,1970
1251,3.46937E+14,1.24975E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1249753408451044,9/23/2016,link,mostly false,,11931,39770,2897
1255,3.46937E+14,1.24986E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1249861458440239,9/23/2016,link,mostly false,,2593,7929,631
1273,3.46937E+14,1.25268E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1252678871491831,9/26/2016,link,mostly false,,28254,59251,2981
1347,3.46937E+14,1.254E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1254000264693025,9/27/2016,link,mostly false,yes,5541,9110,638
1352,3.46937E+14,1.2542E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1254200998006285,9/27/2016,link,mostly false,,5054,10271,431
1150,3.46937E+14,1.24547E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245466285546423,9/19/2016,video,no factual content,,121577,54024,9549
1155,3.46937E+14,1.24568E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245683785524673,9/19/2016,photo,no factual content,,32189,42085,2302
1156,3.46937E+14,1.2457E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245696502190068,9/19/2016,photo,no factual content,,12984,19513,3204
1170,3.46937E+14,1.2459E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1245904742169244,9/20/2016,photo,no factual content,,18396,95902,3754
1177,3.46937E+14,1.24615E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246148605478191,9/20/2016,photo,no factual content,,1,15305,322
1178,3.46937E+14,1.24654E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246535718772813,9/20/2016,photo,no factual content,,8188,14892,661
1357,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840261811680,9/19/2016,link,mostly true,,47,646,282
1358,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840402091680,9/19/2016,link,mostly true,,10,66,22
1359,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840562681680,9/19/2016,link,mostly true,,25,107,29
1360,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840763316680,9/19/2016,link,mostly true,,92,779,192
1361,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840772606680,9/19/2016,link,mostly true,,163,631,246
1362,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840786006680,9/19/2016,link,mostly true,,36,401,96
1363,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840797346680,9/19/2016,link,mostly true,,6,54,11
1364,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840829921680,9/19/2016,link,mostly true,,5,48,9
1365,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840851661680,9/19/2016,link,mostly true,,4,27,17
1366,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840889606680,9/19/2016,link,mostly true,,26,64,16
1367,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840910511680,9/19/2016,link,mostly true,,27,62,39
1368,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840981211680,9/19/2016,link,mostly true,,18,223,80
1369,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153841027911680,9/19/2016,link,mostly true,,268,1288,755
1370,62317591679,1.01538E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153841079491680,9/19/2016,link,mostly true,,35,91,63
2176,1.14518E+14,1.46304E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1463039507040356,9/20/2016,link,mixture of true and false,,4338,18160,906
2175,1.14518E+14,1.46289E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1462891757055131,9/20/2016,photo,mostly false,,3,36556,1002
2190,1.14518E+14,1.46384E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1463842706960036,9/20/2016,photo,mostly false,,3261,9590,445
2191,1.14518E+14,1.46389E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1463890730288567,9/20/2016,photo,mostly false,,11571,8568,930
2214,1.14518E+14,1.46511E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1465108913500082,9/21/2016,photo,mostly false,,21673,19682,329
2249,1.14518E+14,1.47081E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1470814329596207,9/26/2016,link,mostly false,,32181,48387,2551
2161,1.14518E+14,1.4624E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1462399387104368,9/19/2016,photo,no factual content,,2,26990,590
2170,1.14518E+14,1.46278E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1462776623733311,9/19/2016,video,no factual content,,1801,5927,241
2174,1.14518E+14,1.46282E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1462822623728711,9/20/2016,video,no factual content,,4,16486,644
2177,1.14518E+14,1.46335E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1463351953675778,9/20/2016,photo,no factual content,,23015,43279,981
